trial_number,block,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,idle_reaction_time,response_time,key_pressed,report_orientation,performance,absolute_difference,correct_key,signed_difference
1,1,0:00:00.139872,0:00:05.242722,"['#a8f0d1', '#99ceff']",#99ceff,congruent,-15,-48,right,#99ceff,-48,0.7107677459716797,0.5947046279907227,z,-40,91,8,True,-8
2,1,0:00:05.242722,0:01:40.927421,"['#f5e2a3', '#99ceff']",#f5e2a3,congruent,-33,20,left,#f5e2a3,-33,91.69732761383057,0.21329188346862793,m,14,48,47,False,-47
3,1,0:01:40.927421,0:01:45.851985,"['#a8f0d1', '#99ceff']",#f5e2a3,neutral,-7,-29,left,#a8f0d1,-7,0.5218214988708496,0.626978874206543,m,43,44,50,False,-50
4,1,0:01:45.851985,0:01:50.542423,"['#ff99ac', '#f5e2a3']",#f5e2a3,incongruent,-43,-30,left,#ff99ac,-43,0.38442134857177734,0.532733678817749,z,-36,92,7,True,-7
5,1,0:01:50.542423,0:01:56.043371,"['#f5e2a3', '#ff99ac']",#ff99ac,incongruent,77,-12,left,#f5e2a3,77,0.9885830879211426,0.7366013526916504,m,50,70,27,True,27
6,1,0:01:56.043371,0:02:01.051763,"['#99ceff', '#f5e2a3']",#99ceff,congruent,-7,61,left,#99ceff,-7,0.929556131362915,0.30555272102355957,m,20,70,27,False,-27
7,1,0:02:01.051763,0:02:06.300233,"['#f5e2a3', '#ff99ac']",#ff99ac,incongruent,-22,-18,left,#f5e2a3,-22,1.2311408519744873,0.24156546592712402,m,16,58,38,False,-38
8,1,0:02:06.300233,0:02:11.308129,"['#ff99ac', '#f5e2a3']",#99ceff,neutral,-71,17,right,#f5e2a3,17,0.6741015911102295,0.5615034103393555,m,38,77,21,True,-21
9,1,0:02:11.308129,0:02:16.302633,"['#ff99ac', '#a8f0d1']",#ff99ac,incongruent,69,-52,right,#a8f0d1,-52,0.4632894992828369,0.755946159362793,z,-51,99,1,True,-1
