trial_number,block,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,idle_reaction_time,response_time,key_pressed,report_orientation,performance,absolute_difference,correct_key,signed_difference
1,1,0:00:00.158227,0:00:05.020123,"['#ff99ac', '#f5e2a3']",#f5e2a3,congruent,-23,68,right,#f5e2a3,68,1.0336861610412598,0.5297391414642334,m,36,64,32,True,32
2,1,0:00:05.020123,0:00:09.677166,"['#ff99ac', '#f5e2a3']",#ff99ac,incongruent,76,14,right,#f5e2a3,14,0.9920210838317871,0.38738417625427246,m,26,87,12,True,-12
3,1,0:00:09.677166,0:00:14.684889,"['#a8f0d1', '#f5e2a3']",#ff99ac,neutral,80,63,right,#f5e2a3,63,0.8184175491333008,0.9136512279510498,m,63,100,0,True,0
4,1,0:00:14.684889,0:00:19.501152,"['#f5e2a3', '#a8f0d1']",#99ceff,neutral,-21,49,right,#a8f0d1,49,0.8337938785552979,0.7083029747009277,z,-48,8,83,False,97
5,1,0:00:19.501152,0:00:24.429513,"['#a8f0d1', '#f5e2a3']",#a8f0d1,incongruent,-71,-68,right,#f5e2a3,-68,0.9136519432067871,0.7405433654785156,z,-50,80,18,True,-18
6,1,0:00:24.429513,0:00:28.942714,"['#ff99ac', '#f5e2a3']",#99ceff,neutral,5,-46,left,#ff99ac,5,0.5470998287200928,0.6929268836975098,m,47,53,42,True,-42
7,1,0:00:28.942714,0:00:33.354728,"['#99ceff', '#a8f0d1']",#a8f0d1,incongruent,-53,-54,left,#99ceff,-53,0.5113871097564697,0.6244771480560303,z,-43,89,10,True,-10
8,1,0:00:33.354728,0:00:40.429824,"['#99ceff', '#f5e2a3']",#99ceff,congruent,-19,-47,left,#99ceff,-19,3.3019425868988037,0.5004746913909912,m,34,41,53,False,-53
9,1,0:00:40.429824,0:00:47.757884,"['#f5e2a3', '#ff99ac']",#99ceff,neutral,-76,85,left,#f5e2a3,-76,3.3783278465270996,0.6765587329864502,m,46,36,58,False,-122
10,1,0:00:47.757884,0:00:52.427328,"['#a8f0d1', '#f5e2a3']",#f5e2a3,incongruent,-72,43,left,#a8f0d1,-72,0.8015532493591309,0.5937247276306152,z,-40,64,32,True,-32
11,1,0:00:52.427328,0:00:56.587865,"['#a8f0d1', '#ff99ac']",#ff99ac,congruent,76,-11,right,#ff99ac,-11,0.49700236320495605,0.38639235496520996,z,-26,83,15,True,15
12,1,0:00:56.587865,0:01:01.422976,"['#ff99ac', '#99ceff']",#ff99ac,congruent,63,50,left,#ff99ac,63,1.0912234783172607,0.4692261219024658,m,32,66,31,True,31
13,1,0:01:01.422976,0:01:06.061667,"['#99ceff', '#f5e2a3']",#ff99ac,neutral,-55,68,left,#99ceff,-55,0.6403496265411377,0.7236793041229248,z,-50,94,5,True,-5
14,1,0:01:06.061667,0:01:10.109113,"['#99ceff', '#f5e2a3']",#99ceff,congruent,-10,21,left,#99ceff,-10,0.466249942779541,0.30703067779541016,m,21,66,31,False,-31
15,1,0:01:10.109113,0:01:14.190784,"['#a8f0d1', '#99ceff']",#a8f0d1,incongruent,81,-79,right,#99ceff,-79,0.5302352905273438,0.27677416801452637,m,18,8,83,False,-97
