trial_number,block,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,condition_code,idle_reaction_time_in_ms,response_time_in_ms,key_pressed,report_orientation,performance,absolute_difference,correct_key,signed_difference
1,1,0:00:00.133424,0:00:04.535424,"['#99ceff', '#f5e2a3']",#ff99ac,neutral,71,79,right,#f5e2a3,79,6,463.26,643.81,m,44,61,35,True,35
2,1,0:00:04.535424,0:00:08.724144,"['#ff99ac', '#f5e2a3']",#f5e2a3,congruent,-69,-47,right,#f5e2a3,-47,2,372.5,545.1,z,-37,89,10,True,-10
3,1,0:00:08.724144,0:00:12.661392,"['#a8f0d1', '#f5e2a3']",#f5e2a3,incongruent,5,-8,left,#a8f0d1,5,3,292.64,371.01,z,-25,67,30,False,30
4,1,0:00:12.661392,0:00:16.755376,"['#ff99ac', '#f5e2a3']",#ff99ac,congruent,-80,-31,left,#ff99ac,-80,1,437.47,385.39,m,26,18,74,False,-106
5,1,0:00:16.755376,0:00:20.580032,"['#99ceff', '#a8f0d1']",#99ceff,incongruent,-40,-69,right,#a8f0d1,-69,4,71.42,481.62,m,33,13,78,False,-102
6,1,0:00:20.580032,0:00:25.094624,"['#a8f0d1', '#f5e2a3']",#99ceff,neutral,37,-55,left,#a8f0d1,37,5,709.28,531.71,m,37,100,0,True,0
7,2,0:00:42.859856,0:00:47.222176,"['#99ceff', '#a8f0d1']",#ff99ac,neutral,31,19,right,#a8f0d1,19,6,844.69,242.54,m,16,97,3,True,3
8,2,0:00:47.222176,0:00:55.731552,"['#f5e2a3', '#a8f0d1']",#f5e2a3,congruent,32,39,left,#f5e2a3,32,1,4963.97,272.3,m,18,84,14,True,14
9,2,0:00:55.731552,0:00:59.844384,"['#a8f0d1', '#ff99ac']",#ff99ac,incongruent,78,-66,left,#a8f0d1,78,3,501.46,337.78,m,23,39,55,True,55
10,2,0:00:59.844384,0:01:03.971103,"['#f5e2a3', '#ff99ac']",#f5e2a3,incongruent,29,85,right,#ff99ac,85,4,437.47,417.14,m,29,38,56,True,56
11,2,0:01:03.971103,0:01:07.991184,"['#f5e2a3', '#a8f0d1']",#a8f0d1,congruent,55,-28,right,#a8f0d1,-28,2,471.7,277.26,m,19,48,47,False,-47
12,2,0:01:07.991184,0:01:11.912063,"['#ff99ac', '#99ceff']",#a8f0d1,neutral,-7,75,left,#ff99ac,-7,5,322.9,325.38,m,23,67,30,False,-30
13,3,0:01:24.633968,0:01:57.784127,"['#99ceff', '#a8f0d1']",#f5e2a3,neutral,-80,18,left,#99ceff,-80,5,29532.83,340.75,m,23,14,77,False,-103
