trial_number,block,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,condition_code,idle_reaction_time_in_ms,response_time_in_ms,key_pressed,report_orientation,performance,absolute_difference,correct_key,signed_difference
1,1,0:00:00.110608,0:00:04.513102,"['#ff99ac', '#99ceff']",#99ceff,congruent,-26,-83,right,#99ceff,-83,2,283.22,848.66,z,-58,72,25,True,-25
2,1,0:00:04.513102,0:00:09.282140,"['#f5e2a3', '#99ceff']",#99ceff,congruent,84,-81,right,#99ceff,-81,2,568.91,930.0,z,-63,80,18,True,-18
3,1,0:00:09.282140,0:00:13.890475,"['#ff99ac', '#f5e2a3']",#f5e2a3,incongruent,59,58,left,#ff99ac,59,3,913.63,418.13,m,28,66,31,True,31
4,1,0:00:13.890475,0:00:18.113417,"['#f5e2a3', '#ff99ac']",#f5e2a3,congruent,38,-43,left,#f5e2a3,38,1,470.21,481.12,m,33,94,5,True,5
5,1,0:00:18.113417,0:00:22.676615,"['#f5e2a3', '#99ceff']",#ff99ac,neutral,68,63,right,#99ceff,63,6,392.83,900.24,m,61,98,2,True,2
6,1,0:00:22.676615,0:00:27.201125,"['#a8f0d1', '#99ceff']",#ff99ac,neutral,-10,-59,right,#99ceff,-59,6,741.52,512.86,z,-35,73,24,True,-24
7,1,0:00:27.201125,0:00:31.088772,"['#f5e2a3', '#99ceff']",#f5e2a3,congruent,5,55,left,#f5e2a3,5,1,390.35,224.69,z,-15,78,20,False,20
8,1,0:00:31.088772,0:00:35.105378,"['#f5e2a3', '#a8f0d1']",#a8f0d1,congruent,-48,12,right,#a8f0d1,12,2,453.84,289.17,m,19,92,7,True,-7
9,1,0:00:35.105378,0:00:38.993520,"['#ff99ac', '#a8f0d1']",#ff99ac,congruent,-77,-29,left,#ff99ac,-77,1,311.49,305.54,z,-20,37,57,True,-57
10,1,0:00:38.993520,0:00:43.123215,"['#f5e2a3', '#99ceff']",#a8f0d1,neutral,54,-18,left,#f5e2a3,54,5,424.08,434.99,m,29,72,25,True,25
11,1,0:00:43.123215,0:00:47.123949,"['#ff99ac', '#99ceff']",#99ceff,incongruent,74,-76,left,#ff99ac,74,3,341.25,387.38,m,26,47,48,True,48
12,1,0:00:47.123949,0:00:51.555211,"['#ff99ac', '#a8f0d1']",#a8f0d1,congruent,-16,59,right,#a8f0d1,59,2,293.63,867.01,m,59,100,0,True,0
