trial_number,block,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,idle_reaction_time,response_time,key_pressed,report_orientation,performance,absolute_difference,correct_key,signed_difference
1,1,0:00:00.136403,0:00:04.719540,"['#a8f0d1', '#f5e2a3']",#a8f0d1,congruent,-73,-70,left,#a8f0d1,-73,0.9612686634063721,0.322406530380249,m,21,4,86,False,-94
2,1,0:00:04.719540,0:00:08.930174,"['#99ceff', '#ff99ac']",#ff99ac,congruent,30,25,right,#ff99ac,25,0.4826183319091797,0.4533534049987793,m,31,93,6,True,-6
3,1,0:00:08.930174,0:00:13.325324,"['#ff99ac', '#99ceff']",#ff99ac,incongruent,-33,-58,right,#99ceff,-58,0.6368772983551025,0.4806344509124756,z,-32,71,26,True,-26
4,1,0:00:13.325324,0:00:18.000224,"['#ff99ac', '#99ceff']",#f5e2a3,neutral,-79,-68,right,#99ceff,-68,0.6115810871124268,0.7876644134521484,z,-53,83,15,True,-15
5,1,0:00:18.000224,0:00:22.189529,"['#99ceff', '#a8f0d1']",#a8f0d1,congruent,26,-46,right,#a8f0d1,-46,0.529242992401123,0.38540029525756836,z,-26,78,20,True,-20
6,1,0:00:22.189529,0:00:27.230981,"['#99ceff', '#f5e2a3']",#99ceff,incongruent,-20,-80,right,#f5e2a3,-80,0.932499885559082,0.8347856998443604,z,-57,74,23,True,-23
7,1,0:00:27.230981,0:00:31.488240,"['#99ceff', '#f5e2a3']",#99ceff,incongruent,44,47,right,#f5e2a3,47,0.40474462509155273,0.5793399810791016,m,40,92,7,True,7
8,1,0:00:31.488240,0:00:36.334264,"['#f5e2a3', '#99ceff']",#99ceff,incongruent,-72,-32,left,#f5e2a3,-72,1.0257494449615479,0.5451159477233887,z,-37,61,35,True,-35
9,1,0:00:36.334264,0:00:40.622771,"['#ff99ac', '#a8f0d1']",#99ceff,neutral,-63,-33,right,#a8f0d1,-33,0.6770548820495605,0.33827877044677734,m,23,38,56,False,-56
10,1,0:00:40.622771,0:00:45.055618,"['#a8f0d1', '#f5e2a3']",#99ceff,neutral,22,51,left,#a8f0d1,22,0.6919348239898682,0.466249942779541,m,31,90,9,True,-9
11,1,0:00:45.055618,0:00:49.981003,"['#99ceff', '#a8f0d1']",#99ceff,incongruent,85,72,right,#a8f0d1,72,0.8977792263031006,0.7524478435516357,m,51,77,21,True,21
12,1,0:00:49.981003,0:00:54.432698,"['#ff99ac', '#a8f0d1']",#a8f0d1,congruent,41,-62,right,#a8f0d1,-62,0.564460039138794,0.612076997756958,m,41,14,77,False,-103
13,1,0:00:54.432698,0:00:59.341715,"['#ff99ac', '#f5e2a3']",#ff99ac,incongruent,21,7,right,#f5e2a3,7,0.7708001136779785,0.8650424480438232,z,-59,27,66,False,66
14,1,0:00:59.341715,0:01:04.350926,"['#ff99ac', '#99ceff']",#99ceff,congruent,38,26,right,#99ceff,26,0.9007556438446045,0.8337936401367188,m,57,66,31,True,-31
15,1,0:01:04.350926,0:01:08.733676,"['#a8f0d1', '#ff99ac']",#ff99ac,incongruent,-22,32,left,#a8f0d1,-22,0.6279494762420654,0.4806342124938965,m,32,40,54,False,-54
16,1,0:01:08.733676,0:01:15.118324,"['#f5e2a3', '#a8f0d1']",#f5e2a3,incongruent,-13,-5,right,#a8f0d1,-5,2.6457202434539795,0.4652578830718994,m,31,60,36,False,-36
17,1,0:01:15.118324,0:01:19.728743,"['#a8f0d1', '#f5e2a3']",#f5e2a3,incongruent,-77,35,left,#a8f0d1,-77,0.41962480545043945,0.9156358242034912,z,-63,84,14,True,-14
18,1,0:01:19.728743,0:01:24.461676,"['#a8f0d1', '#f5e2a3']",#99ceff,neutral,57,-20,left,#a8f0d1,57,0.5282514095306396,0.9285318851470947,m,63,93,6,True,-6
