trial_number,block,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,condition_code,idle_reaction_time_in_ms,response_time_in_ms,key_pressed,report_orientation,performance,absolute_difference,correct_key,signed_difference
1,1,0:00:00.111105,0:00:04.690209,"['#ff99ac', '#99ceff']",#f5e2a3,neutral,12,78,right,#99ceff,78,6,1018.79,290.16,z,-20,9,82,False,98
2,1,0:00:04.690209,0:00:09.508386,"['#f5e2a3', '#ff99ac']",#f5e2a3,incongruent,25,35,right,#ff99ac,35,4,903.72,644.31,m,45,89,10,True,-10
3,1,0:00:09.508386,0:00:13.842961,"['#99ceff', '#f5e2a3']",#ff99ac,neutral,-26,65,right,#f5e2a3,65,6,436.98,626.95,m,44,77,21,True,21
4,1,0:00:13.842961,0:00:19.632313,"['#ff99ac', '#f5e2a3']",#a8f0d1,neutral,-81,34,right,#f5e2a3,34,6,1925.98,592.23,z,-41,17,75,False,75
5,1,0:00:19.632313,0:00:23.906871,"['#ff99ac', '#a8f0d1']",#ff99ac,incongruent,-6,7,right,#a8f0d1,7,4,661.17,338.77,z,-23,67,30,False,30
6,1,0:00:23.906871,0:00:28.133317,"['#99ceff', '#ff99ac']",#ff99ac,incongruent,-26,-17,left,#99ceff,-26,3,486.58,469.22,m,33,34,59,False,-59
7,1,0:00:28.133317,0:00:31.891039,"['#a8f0d1', '#99ceff']",#ff99ac,neutral,50,70,left,#a8f0d1,50,5,145.83,338.27,z,-23,19,73,False,73
8,1,0:00:31.891039,0:00:36.181469,"['#99ceff', '#ff99ac']",#99ceff,congruent,13,-8,left,#99ceff,13,1,598.18,420.61,z,-29,53,42,False,42
9,1,0:00:36.181469,0:00:41.282369,"['#f5e2a3', '#a8f0d1']",#f5e2a3,incongruent,-19,-53,right,#a8f0d1,-53,4,931.0,898.26,z,-64,88,11,True,11
10,1,0:00:41.282369,0:00:46.275635,"['#f5e2a3', '#a8f0d1']",#a8f0d1,incongruent,81,-41,left,#f5e2a3,81,3,1029.7,691.43,m,49,64,32,True,32
11,1,0:00:46.275635,0:00:50.704940,"['#ff99ac', '#f5e2a3']",#99ceff,neutral,14,-79,left,#ff99ac,14,5,69.94,1088.72,z,-77,1,89,False,91
