trial_number,block,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,condition_code,idle_reaction_time_in_ms,response_time_in_ms,key_pressed,report_orientation,performance,absolute_difference,correct_key,signed_difference
1,1,0:00:00.163851,0:00:04.054581,"['#99ceff', '#a8f0d1']",#a8f0d1,congruent,-19,-23,right,#a8f0d1,-23,2,290.96,321.75,z,-23,100,0,True,0
2,1,0:00:04.054581,0:00:08.026244,"['#a8f0d1', '#99ceff']",#f5e2a3,neutral,82,-38,left,#a8f0d1,82,5,278.05,417.08,m,31,43,51,True,51
3,1,0:00:08.026244,0:00:11.567920,"['#a8f0d1', '#f5e2a3']",#a8f0d1,congruent,-25,34,left,#a8f0d1,-25,1,12.41,251.74,z,-18,92,7,True,-7
4,1,0:00:11.567920,0:00:15.266497,"['#f5e2a3', '#99ceff']",#a8f0d1,neutral,-49,70,right,#99ceff,70,6,235.85,186.2,z,-13,8,83,False,83
5,1,0:00:15.266497,0:00:19.352359,"['#ff99ac', '#a8f0d1']",#a8f0d1,incongruent,74,61,left,#ff99ac,74,3,235.85,572.98,m,42,64,32,True,32
6,1,0:00:19.352359,0:00:23.517664,"['#ff99ac', '#a8f0d1']",#ff99ac,incongruent,-58,-8,right,#a8f0d1,-8,4,372.39,517.37,m,38,49,46,False,-46
7,2,0:00:36.848402,0:00:40.963213,"['#99ceff', '#a8f0d1']",#ff99ac,neutral,38,31,left,#99ceff,38,5,507.41,332.32,m,24,84,14,True,14
8,2,0:00:40.963213,0:00:44.839447,"['#a8f0d1', '#f5e2a3']",#ff99ac,neutral,-70,-29,right,#f5e2a3,-29,6,283.22,320.91,m,23,42,52,False,-52
9,2,0:00:44.839447,0:00:48.887794,"['#a8f0d1', '#ff99ac']",#ff99ac,incongruent,-8,-18,left,#a8f0d1,-8,3,436.48,337.28,m,24,64,32,False,-32
10,2,0:00:48.887794,0:00:53.415276,"['#99ceff', '#f5e2a3']",#99ceff,incongruent,14,-75,right,#f5e2a3,-75,4,854.61,401.26,m,29,16,76,False,-104
11,2,0:00:53.415276,0:00:57.320775,"['#99ceff', '#ff99ac']",#99ceff,congruent,-22,-53,left,#99ceff,-22,1,244.53,386.88,m,28,44,50,False,-50
12,2,0:00:57.320775,0:01:01.410785,"['#ff99ac', '#a8f0d1']",#a8f0d1,congruent,-70,-36,right,#a8f0d1,-36,2,300.08,516.83,m,38,18,74,False,-74
