trial_number,block,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,condition_code,idle_reaction_time_in_ms,response_time_in_ms,key_pressed,report_orientation,performance,absolute_difference,correct_key,signed_difference
1,1,0:00:00.108624,0:00:04.357363,"['#a8f0d1', '#f5e2a3']",#f5e2a3,congruent,22,-35,right,#f5e2a3,-35,2,668.11,308.51,z,-21,84,14,True,-14
2,1,0:00:04.357363,0:00:08.406709,"['#a8f0d1', '#f5e2a3']",#a8f0d1,congruent,47,38,left,#a8f0d1,47,1,516.34,261.39,m,18,68,29,True,29
3,1,0:00:08.406709,0:00:12.753160,"['#a8f0d1', '#99ceff']",#99ceff,incongruent,-14,79,left,#a8f0d1,-14,3,674.06,401.26,z,-27,86,13,True,13
4,1,0:00:12.753160,0:00:17.605530,"['#f5e2a3', '#a8f0d1']",#f5e2a3,congruent,-80,-80,left,#f5e2a3,-80,1,503.44,1077.31,z,-75,94,5,True,-5
5,1,0:00:17.605530,0:00:21.876589,"['#a8f0d1', '#f5e2a3']",#ff99ac,neutral,11,-19,right,#f5e2a3,-19,6,658.69,339.76,m,23,53,42,False,-42
6,1,0:00:21.876589,0:00:26.260736,"['#a8f0d1', '#ff99ac']",#99ceff,neutral,-66,-11,left,#a8f0d1,-66,5,451.36,660.18,z,-46,78,20,True,-20
7,1,0:00:26.260736,0:00:30.608674,"['#99ceff', '#f5e2a3']",#ff99ac,neutral,17,33,left,#99ceff,17,5,644.3,432.51,m,30,86,13,True,-13
8,1,0:00:30.608674,0:00:37.106774,"['#f5e2a3', '#a8f0d1']",#a8f0d1,incongruent,-31,-12,left,#f5e2a3,-31,3,2710.15,513.36,m,35,27,66,False,-66
9,1,0:00:37.106774,0:00:41.172984,"['#f5e2a3', '#a8f0d1']",#ff99ac,neutral,37,77,right,#a8f0d1,77,6,341.74,452.85,m,31,49,46,True,46
10,1,0:00:41.172984,0:00:45.489179,"['#f5e2a3', '#99ceff']",#99ceff,incongruent,-5,-68,left,#f5e2a3,-5,3,707.79,337.28,m,23,69,28,False,-28
11,1,0:00:45.489179,0:00:50.004766,"['#ff99ac', '#a8f0d1']",#ff99ac,incongruent,10,30,right,#a8f0d1,30,4,679.52,564.45,m,39,90,9,True,-9
12,1,0:00:50.004766,0:00:54.290704,"['#99ceff', '#ff99ac']",#a8f0d1,neutral,-10,-63,left,#99ceff,-10,5,341.25,674.56,z,-46,60,36,True,36
13,1,0:00:54.290704,0:00:58.739331,"['#a8f0d1', '#99ceff']",#ff99ac,neutral,-58,-52,left,#a8f0d1,-58,5,614.05,563.46,z,-40,80,18,True,-18
14,1,0:00:58.739331,0:01:03.187461,"['#a8f0d1', '#ff99ac']",#ff99ac,incongruent,-58,-77,left,#a8f0d1,-58,3,486.58,691.42,z,-48,89,10,True,-10
15,1,0:01:03.187461,0:01:07.489272,"['#f5e2a3', '#a8f0d1']",#f5e2a3,congruent,22,-42,left,#f5e2a3,22,1,499.47,529.23,m,37,83,15,True,-15
16,1,0:01:07.489272,0:01:11.889291,"['#f5e2a3', '#ff99ac']",#a8f0d1,neutral,55,-24,right,#ff99ac,-24,6,583.79,545.1,z,-37,86,13,True,13
17,1,0:01:11.889291,0:01:16.402893,"['#ff99ac', '#f5e2a3']",#ff99ac,incongruent,46,21,right,#f5e2a3,21,4,679.02,562.96,z,-39,33,60,False,60
18,1,0:01:16.402893,0:01:20.708672,"['#f5e2a3', '#99ceff']",#a8f0d1,neutral,73,-32,right,#99ceff,-32,6,451.86,580.32,z,-40,91,8,True,8
19,1,0:01:20.708672,0:01:25.664211,"['#99ceff', '#f5e2a3']",#99ceff,incongruent,-19,34,right,#f5e2a3,34,4,788.64,896.27,m,63,68,29,True,-29
20,1,0:01:25.664211,0:01:29.744309,"['#ff99ac', '#a8f0d1']",#f5e2a3,neutral,57,-56,left,#ff99ac,57,5,362.08,448.38,z,-31,2,88,False,88
21,1,0:01:29.744309,0:01:34.676536,"['#a8f0d1', '#ff99ac']",#f5e2a3,neutral,-40,75,right,#ff99ac,75,6,663.65,996.46,m,70,94,5,True,5
22,1,0:01:34.676536,0:01:39.012075,"['#a8f0d1', '#ff99ac']",#99ceff,neutral,-30,-17,left,#a8f0d1,-30,5,641.33,419.12,z,-29,99,1,True,-1
23,1,0:01:39.012075,0:01:43.426477,"['#a8f0d1', '#ff99ac']",#ff99ac,congruent,43,-50,right,#ff99ac,-50,2,613.06,530.22,z,-37,86,13,True,-13
24,1,0:01:43.426477,0:01:48.084416,"['#ff99ac', '#f5e2a3']",#ff99ac,incongruent,-61,39,right,#f5e2a3,39,4,901.73,484.59,m,33,93,6,True,6
25,1,0:01:48.084416,0:01:52.497331,"['#ff99ac', '#a8f0d1']",#a8f0d1,congruent,63,-71,right,#a8f0d1,-71,2,357.12,785.17,z,-55,82,16,True,-16
