trial_number,start_time,end_time,left_bar_rotation,right_bar_rotation,report_orientation,performance,difference
1,1679910175.675185,1679910177.7121673,21,-21,12.0,90,9
2,1679910177.7121673,1679910180.2787507,-55,-56,-54.0,99,1
3,1679910180.2787507,1679910182.762062,60,73,64.5,96,4
4,1679910182.762062,1679910184.844527,51,-42,28.5,74,23
