trial_number,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,idle_reaction_time,response_time,key_pressed,report_orientation,performance,absolute_difference,correct_key,signed_difference
1,0:00:01.074133,0:00:05.770176,"['#ff99ac', '#99ceff']",#a8f0d1,neutral,64,5,left,#ff99ac,64,0.7850372791290283,0.7608132362365723,m,69,94,5,True,-5
2,0:00:05.770176,0:00:10.038316,"['#ff99ac', '#f5e2a3']",#ff99ac,incongruent,22,81,right,#f5e2a3,81,0.6457066535949707,0.470855712890625,z,-42,37,57,False,123
