trial_number,block,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,idle_reaction_time,response_time,key_pressed,report_orientation,performance,absolute_difference,correct_key,signed_difference
1,1,0:00:00.158224,0:00:05.886530,"['#f5e2a3', '#99ceff']",#99ceff,incongruent,-36,67,left,#f5e2a3,-36,1.189408302307129,0.7395362854003906,z,-55,79,19,True,19
2,1,0:00:05.886530,0:00:10.684340,"['#99ceff', '#f5e2a3']",#99ceff,congruent,-10,-54,left,#99ceff,-10,0.4126718044281006,0.6105763912200928,z,-44,62,34,True,34
3,1,0:00:10.684340,0:00:15.275318,"['#ff99ac', '#f5e2a3']",#f5e2a3,congruent,84,-21,right,#f5e2a3,-21,0.46227192878723145,0.3541443347930908,z,-25,96,4,True,4
4,1,0:00:15.275318,0:00:20.777943,"['#ff99ac', '#a8f0d1']",#ff99ac,incongruent,31,60,right,#a8f0d1,60,1.2469441890716553,0.48112034797668457,m,35,72,25,True,25
5,1,0:00:20.777943,0:00:25.453241,"['#f5e2a3', '#ff99ac']",#ff99ac,congruent,-77,-17,right,#ff99ac,-17,0.37001657485961914,0.532207727432251,z,-39,76,22,True,22
6,1,0:00:25.453241,0:00:30.892379,"['#f5e2a3', '#99ceff']",#ff99ac,neutral,33,-36,right,#99ceff,-36,1.1968483924865723,0.46723198890686035,m,34,22,70,False,-70
7,1,0:00:30.892379,0:00:36.282413,"['#ff99ac', '#a8f0d1']",#ff99ac,congruent,10,35,left,#ff99ac,10,1.387312650680542,0.22567987442016602,z,-15,72,25,False,25
8,1,0:00:36.282413,0:00:41.273663,"['#ff99ac', '#a8f0d1']",#a8f0d1,incongruent,-32,57,left,#ff99ac,-32,0.833280086517334,0.3844003677368164,m,28,33,60,False,-60
9,1,0:00:41.273663,0:00:46.955345,"['#a8f0d1', '#ff99ac']",#ff99ac,incongruent,78,-18,left,#a8f0d1,78,0.9776160717010498,0.9285125732421875,m,69,90,9,True,9
10,1,0:00:46.955345,0:00:52.206003,"['#99ceff', '#f5e2a3']",#99ceff,congruent,82,67,left,#99ceff,82,0.5738718509674072,0.900240421295166,m,67,83,15,True,15
11,1,0:00:52.206003,0:00:57.017205,"['#99ceff', '#f5e2a3']",#f5e2a3,congruent,71,-47,right,#f5e2a3,-47,0.5406398773193359,0.49649643898010254,z,-37,89,10,True,-10
12,1,0:00:57.017205,0:01:01.868087,"['#99ceff', '#a8f0d1']",#a8f0d1,incongruent,-73,-52,left,#99ceff,-73,0.5282402038574219,0.5470881462097168,z,-40,63,33,True,-33
13,1,0:01:01.868087,0:01:06.587528,"['#a8f0d1', '#99ceff']",#f5e2a3,neutral,-38,74,left,#a8f0d1,-38,0.5242722034454346,0.41812801361083984,z,-30,91,8,True,-8
14,1,0:01:06.587528,0:01:14.890075,"['#99ceff', '#f5e2a3']",#f5e2a3,congruent,85,15,right,#f5e2a3,15,4.206577301025391,0.32091212272644043,m,23,91,8,True,-8
15,1,0:01:14.890075,0:01:23.915294,"['#a8f0d1', '#99ceff']",#a8f0d1,incongruent,-45,-16,right,#99ceff,-16,4.895522117614746,0.3531520366668701,m,26,53,42,False,-42
16,1,0:01:23.915294,0:01:28.650112,"['#ff99ac', '#99ceff']",#f5e2a3,neutral,-81,-40,right,#99ceff,-40,0.5426242351531982,0.41713595390319824,m,31,21,71,False,-71
17,1,0:01:28.650112,0:01:33.774290,"['#f5e2a3', '#ff99ac']",#f5e2a3,congruent,73,7,left,#f5e2a3,73,0.9295046329498291,0.4206080436706543,m,30,52,43,True,43
18,1,0:01:33.774290,0:01:38.236804,"['#99ceff', '#a8f0d1']",#99ceff,incongruent,-66,-28,right,#a8f0d1,-28,0.2519681453704834,0.43598413467407227,z,-32,96,4,True,4
19,1,0:01:38.236804,0:01:44.588582,"['#ff99ac', '#99ceff']",#a8f0d1,neutral,-43,63,right,#99ceff,63,1.7736966609954834,0.8035204410552979,m,59,96,4,True,4
20,1,0:01:44.588582,0:01:54.379129,"['#a8f0d1', '#f5e2a3']",#a8f0d1,incongruent,79,34,right,#f5e2a3,34,5.501634120941162,0.5143520832061768,m,38,96,4,True,-4
21,1,0:01:54.379129,0:01:59.629787,"['#ff99ac', '#a8f0d1']",#f5e2a3,neutral,79,-52,left,#ff99ac,79,0.8471682071685791,0.6289281845092773,m,46,63,33,True,33
22,1,0:01:59.629787,0:02:04.796621,"['#ff99ac', '#a8f0d1']",#a8f0d1,incongruent,-47,-52,left,#ff99ac,-47,0.8749444484710693,0.5158400535583496,m,38,6,85,False,-85
23,1,0:02:04.796621,0:02:09.705535,"['#ff99ac', '#f5e2a3']",#99ceff,neutral,-31,-63,right,#f5e2a3,-63,0.6854720115661621,0.44838380813598633,m,32,6,85,False,-95
24,1,0:02:09.705535,0:02:17.529938,"['#a8f0d1', '#f5e2a3']",#99ceff,neutral,-30,-71,left,#a8f0d1,-30,3.6818089485168457,0.36902427673339844,m,27,37,57,False,-57
25,1,0:02:17.529938,0:02:22.606499,"['#ff99ac', '#99ceff']",#99ceff,incongruent,-63,50,left,#ff99ac,-63,0.6864643096923828,0.6125600337982178,z,-45,80,18,True,-18
26,1,0:02:22.606499,0:02:28.641334,"['#ff99ac', '#f5e2a3']",#ff99ac,incongruent,-47,-72,right,#f5e2a3,-72,1.0386245250701904,1.2236323356628418,m,90,80,18,False,-162
