trial_number,start_time,end_time,stimuli_colours,capture_colour,left_orientation,right_orientation,target_bar,target_colour,target_orientation,report_orientation,performance,difference
1,0:00:01.126126,0:00:06.818145,"['#a8f0d1', '#ff99ac']",#a8f0d1,19,36,right,#ff99ac,36,37,99,1
2,0:00:06.818145,0:00:11.584647,"['#99ceff', '#ff99ac']",#99ceff,-47,53,left,#99ceff,-47,-50,97,3
3,0:00:11.584647,0:00:15.867527,"['#a8f0d1', '#ff99ac']",#ff99ac,16,-67,right,#ff99ac,-67,-60,92,7
4,0:00:15.867527,0:00:21.451316,"['#ff99ac', '#a8f0d1']",#ff99ac,67,47,left,#ff99ac,67,-20,3,87
5,0:00:21.451316,0:00:25.302589,"['#a8f0d1', '#99ceff']",#99ceff,46,-64,left,#a8f0d1,46,-34,11,80
6,0:00:25.303141,0:00:30.217707,"['#f5e2a3', '#99ceff']",#f5e2a3,-81,54,right,#99ceff,54,22,64,32
7,0:00:30.217707,0:00:34.254309,"['#99ceff', '#ff99ac']",#99ceff,49,-39,right,#ff99ac,-39,30,23,69
8,0:00:34.254309,0:00:38.801315,"['#f5e2a3', '#a8f0d1']",#a8f0d1,-59,80,right,#a8f0d1,80,44,60,36
9,0:00:38.801315,0:00:42.601061,"['#f5e2a3', '#ff99ac']",#f5e2a3,12,-50,left,#f5e2a3,12,15,97,3
10,0:00:42.601061,0:00:47.034328,"['#99ceff', '#f5e2a3']",#99ceff,49,74,left,#99ceff,49,60,88,11
