trial_number,block,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,condition_code,idle_reaction_time_in_ms,response_time_in_ms,key_pressed,report_orientation,performance,absolute_difference,correct_key,signed_difference
1,1,0:00:00.164671,0:00:04.827528,"['#f5e2a3', '#a8f0d1']",#f5e2a3,congruent,-28,10,left,#f5e2a3,-28,1,889.82,498.48,m,37,28,65,False,-65
2,1,0:00:04.827528,0:00:09.922893,"['#f5e2a3', '#ff99ac']",#f5e2a3,incongruent,40,-54,right,#ff99ac,-54,4,860.55,961.74,m,71,39,55,False,-125
3,1,0:00:09.922893,0:00:14.977587,"['#a8f0d1', '#ff99ac']",#99ceff,neutral,81,-29,right,#ff99ac,-29,6,820.87,961.24,m,71,11,80,False,-100
4,1,0:00:14.977587,0:00:19.153872,"['#99ceff', '#ff99ac']",#ff99ac,congruent,18,-19,right,#ff99ac,-19,2,509.88,392.83,m,29,47,48,False,-48
5,1,0:00:19.153872,0:00:23.641147,"['#f5e2a3', '#a8f0d1']",#f5e2a3,congruent,10,-46,left,#f5e2a3,10,1,341.24,873.45,m,65,39,55,True,-55
6,1,0:00:23.641147,0:00:28.034678,"['#99ceff', '#ff99ac']",#a8f0d1,neutral,8,30,right,#ff99ac,30,6,349.18,770.28,m,57,70,27,True,-27
7,1,0:00:28.034678,0:00:32.330994,"['#f5e2a3', '#a8f0d1']",#99ceff,neutral,-65,64,right,#a8f0d1,64,6,381.42,643.31,m,47,81,17,True,17
8,1,0:00:32.330994,0:00:36.303921,"['#99ceff', '#a8f0d1']",#99ceff,congruent,44,85,left,#99ceff,44,1,372.0,328.35,m,24,78,20,True,20
9,1,0:00:36.303921,0:00:41.632900,"['#99ceff', '#a8f0d1']",#a8f0d1,incongruent,8,-24,left,#99ceff,8,3,1078.79,977.11,m,73,28,65,True,-65
10,1,0:00:41.632900,0:00:46.880537,"['#ff99ac', '#f5e2a3']",#ff99ac,incongruent,23,57,right,#f5e2a3,57,4,1036.63,936.94,m,69,87,12,True,-12
11,1,0:00:46.880537,0:00:51.368307,"['#99ceff', '#a8f0d1']",#99ceff,incongruent,-48,84,right,#a8f0d1,84,4,421.6,792.6,m,59,72,25,True,25
12,1,0:00:51.368307,0:00:55.531200,"['#a8f0d1', '#f5e2a3']",#a8f0d1,congruent,20,-5,left,#a8f0d1,20,1,598.67,291.65,m,21,99,1,True,-1
13,1,0:00:55.531200,0:00:59.713447,"['#f5e2a3', '#ff99ac']",#ff99ac,congruent,42,-26,right,#ff99ac,-26,2,251.47,657.69,m,49,17,75,False,-75
14,1,0:00:59.713447,0:01:04.107503,"['#f5e2a3', '#99ceff']",#ff99ac,neutral,29,40,right,#99ceff,40,6,292.64,827.82,m,61,77,21,True,-21
15,1,0:01:04.107503,0:01:08.764439,"['#ff99ac', '#a8f0d1']",#ff99ac,congruent,46,-52,left,#ff99ac,46,1,548.08,836.75,m,62,82,16,True,-16
16,1,0:01:08.764439,0:01:13.298367,"['#a8f0d1', '#ff99ac']",#f5e2a3,neutral,19,-79,right,#ff99ac,-79,6,409.2,849.15,m,63,58,38,False,-142
17,1,0:01:13.298367,0:01:17.993990,"['#f5e2a3', '#a8f0d1']",#a8f0d1,incongruent,6,-13,left,#f5e2a3,6,3,779.21,642.32,m,47,54,41,True,-41
18,1,0:01:17.993990,0:01:22.760542,"['#f5e2a3', '#ff99ac']",#99ceff,neutral,16,-25,left,#f5e2a3,16,5,964.22,529.23,m,39,74,23,True,-23
19,1,0:01:22.760542,0:01:27.451206,"['#99ceff', '#a8f0d1']",#a8f0d1,congruent,-17,35,right,#a8f0d1,35,2,965.21,451.85,m,33,98,2,True,2
20,1,0:01:27.451206,0:01:33.419068,"['#99ceff', '#ff99ac']",#ff99ac,incongruent,-28,19,left,#99ceff,-28,3,2090.64,603.63,m,44,20,72,False,-72
21,1,0:01:33.419068,0:01:39.995520,"['#a8f0d1', '#f5e2a3']",#99ceff,neutral,34,83,right,#f5e2a3,83,6,2675.42,627.93,m,46,59,37,True,37
22,1,0:01:39.995520,0:01:47.571411,"['#99ceff', '#ff99ac']",#99ceff,incongruent,34,70,right,#ff99ac,70,4,3820.19,483.6,m,35,61,35,True,35
23,1,0:01:47.571411,0:01:53.655832,"['#99ceff', '#ff99ac']",#a8f0d1,neutral,47,30,left,#99ceff,47,5,2298.46,512.37,m,38,90,9,True,9
24,1,0:01:53.655832,0:01:57.499825,"['#f5e2a3', '#a8f0d1']",#a8f0d1,congruent,29,-14,right,#a8f0d1,-14,2,294.13,276.27,m,20,62,34,False,-34
25,1,0:01:57.499825,0:02:02.715752,"['#99ceff', '#a8f0d1']",#a8f0d1,incongruent,-84,-82,left,#99ceff,-84,3,1588.19,356.62,m,26,22,70,False,-110
26,1,0:02:02.715752,0:02:06.458066,"['#99ceff', '#a8f0d1']",#a8f0d1,incongruent,-29,-41,left,#99ceff,-29,3,278.75,186.5,m,13,53,42,False,-42
27,1,0:02:06.458066,0:02:10.547578,"['#ff99ac', '#99ceff']",#a8f0d1,neutral,-26,11,left,#ff99ac,-26,5,565.94,251.97,m,18,51,44,False,-44
28,1,0:02:10.547578,0:02:14.417364,"['#99ceff', '#ff99ac']",#ff99ac,congruent,68,-28,right,#ff99ac,-28,2,242.54,354.14,m,26,40,54,False,-54
29,1,0:02:14.417364,0:02:18.792572,"['#f5e2a3', '#a8f0d1']",#a8f0d1,incongruent,-62,-47,left,#f5e2a3,-62,3,845.18,256.93,m,18,11,80,False,-80
30,1,0:02:18.792572,0:02:23.306164,"['#f5e2a3', '#99ceff']",#a8f0d1,neutral,-43,-48,left,#f5e2a3,-43,5,973.15,266.85,m,19,31,62,False,-62
31,1,0:02:23.306164,0:02:28.121324,"['#f5e2a3', '#ff99ac']",#a8f0d1,neutral,13,-30,left,#f5e2a3,13,5,1244.46,298.1,m,21,91,8,True,-8
32,1,0:02:28.121324,0:02:32.217780,"['#99ceff', '#a8f0d1']",#f5e2a3,neutral,-49,60,right,#a8f0d1,60,6,421.6,402.26,m,29,66,31,True,31
33,1,0:02:32.217780,0:02:36.778492,"['#99ceff', '#f5e2a3']",#99ceff,incongruent,42,84,right,#f5e2a3,84,4,884.86,402.26,m,29,39,55,True,55
34,1,0:02:36.778492,0:02:41.098645,"['#a8f0d1', '#99ceff']",#a8f0d1,incongruent,28,56,right,#99ceff,56,4,658.19,387.38,m,28,69,28,True,28
35,1,0:02:41.098645,0:02:45.200062,"['#f5e2a3', '#a8f0d1']",#f5e2a3,incongruent,-74,78,right,#a8f0d1,78,4,653.23,176.58,m,12,27,66,True,66
36,1,0:02:45.200062,0:02:49.202775,"['#f5e2a3', '#99ceff']",#a8f0d1,neutral,-60,25,right,#99ceff,25,6,476.66,251.47,m,18,92,7,True,7
37,1,0:02:49.202775,0:02:53.063632,"['#99ceff', '#a8f0d1']",#a8f0d1,incongruent,-16,52,left,#99ceff,-16,3,293.14,296.11,m,21,59,37,False,-37
38,1,0:02:53.063632,0:02:56.961193,"['#f5e2a3', '#99ceff']",#a8f0d1,neutral,68,-21,left,#f5e2a3,68,5,304.05,321.9,m,23,50,45,True,45
39,1,0:02:56.961193,0:03:01.387490,"['#ff99ac', '#99ceff']",#ff99ac,incongruent,-50,34,right,#99ceff,34,4,902.22,251.97,z,-18,42,52,False,52
40,1,0:03:01.387490,0:03:05.387722,"['#a8f0d1', '#99ceff']",#ff99ac,neutral,-10,-5,left,#a8f0d1,-10,5,433.5,292.64,z,-21,88,11,True,11
41,1,0:03:05.387722,0:03:09.666707,"['#ff99ac', '#f5e2a3']",#a8f0d1,neutral,-66,-37,left,#ff99ac,-66,5,633.39,371.5,z,-27,57,39,True,-39
42,1,0:03:09.666707,0:03:13.962059,"['#ff99ac', '#99ceff']",#99ceff,congruent,-25,10,right,#99ceff,10,2,730.11,291.15,z,-21,66,31,False,31
43,1,0:03:13.962059,0:03:17.868053,"['#ff99ac', '#a8f0d1']",#a8f0d1,incongruent,33,-78,left,#ff99ac,33,3,313.97,316.94,z,-23,38,56,False,56
44,1,0:03:17.868053,0:03:21.771070,"['#f5e2a3', '#99ceff']",#f5e2a3,congruent,19,50,left,#f5e2a3,19,1,339.26,292.14,m,21,98,2,True,-2
45,1,0:03:21.771070,0:03:26.888293,"['#a8f0d1', '#99ceff']",#a8f0d1,congruent,-19,-75,left,#a8f0d1,-19,1,1506.85,336.78,z,-24,94,5,True,5
46,1,0:03:26.888293,0:03:31.335421,"['#99ceff', '#ff99ac']",#99ceff,congruent,-81,-22,left,#99ceff,-81,1,981.09,191.95,m,14,6,85,False,-95
47,1,0:03:31.335421,0:03:35.371862,"['#a8f0d1', '#99ceff']",#99ceff,congruent,-9,-74,right,#99ceff,-74,2,471.2,292.64,m,21,6,85,False,-95
48,1,0:03:35.371862,0:03:39.906782,"['#99ceff', '#a8f0d1']",#a8f0d1,congruent,-78,54,right,#a8f0d1,54,2,968.69,291.65,m,21,63,33,True,33
