trial_number,block,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,idle_reaction_time,response_time,key_pressed,report_orientation,performance,absolute_difference,correct_key,signed_difference
1,1,0:00:00.137399,0:00:05.043596,"['#99ceff', '#f5e2a3']",#ff99ac,neutral,41,66,right,#f5e2a3,66,0.611600399017334,0.49900269508361816,m,36,67,30,True,30
2,1,0:00:05.043596,0:00:09.937889,"['#f5e2a3', '#a8f0d1']",#a8f0d1,incongruent,33,37,left,#f5e2a3,33,0.5897753238677979,0.5297560691833496,m,39,93,6,True,-6
3,1,0:00:09.937889,0:00:14.464625,"['#99ceff', '#ff99ac']",#99ceff,incongruent,31,22,right,#ff99ac,22,0.3839242458343506,0.3685476779937744,m,27,94,5,True,-5
4,1,0:00:14.464625,0:00:19.060806,"['#ff99ac', '#99ceff']",#a8f0d1,neutral,83,62,right,#99ceff,62,0.43154287338256836,0.38739657402038574,m,28,62,34,True,34
5,1,0:00:19.060806,0:00:23.890614,"['#99ceff', '#ff99ac']",#f5e2a3,neutral,-79,-28,left,#99ceff,-79,0.65277099609375,0.4027729034423828,z,-29,44,50,True,-50
6,1,0:00:23.890614,0:00:28.275983,"['#99ceff', '#f5e2a3']",#f5e2a3,congruent,-25,47,right,#f5e2a3,47,0.11160612106323242,0.49900221824645996,m,37,89,10,True,10
7,1,0:00:28.275983,0:00:33.122657,"['#f5e2a3', '#99ceff']",#99ceff,incongruent,47,12,left,#f5e2a3,47,0.7514793872833252,0.3224174976348877,m,23,73,24,True,24
8,1,0:00:33.122657,0:00:38.227760,"['#99ceff', '#ff99ac']",#99ceff,incongruent,12,-23,right,#ff99ac,-23,0.8154668807983398,0.515371561050415,z,-38,83,15,True,15
9,1,0:00:38.227760,0:00:43.875021,"['#99ceff', '#f5e2a3']",#f5e2a3,congruent,85,-76,right,#f5e2a3,-76,1.3764729499816895,0.49801039695739746,m,37,26,67,False,-113
10,1,0:00:43.875021,0:00:49.089250,"['#a8f0d1', '#99ceff']",#a8f0d1,incongruent,-74,69,right,#99ceff,69,0.847212553024292,0.5922558307647705,m,44,72,25,True,25
