trial_number,start_time,end_time,stimuli_colours,capture_colour,left_orientation,right_orientation,target_bar,target_colour,target_orientation,report_orientation,performance,difference
1,0:02:24.974678,0:02:30.251479,"[[0.8, 0.2, 0.2], [0.9, 0.8, 0.3]]","[0.9, 0.8, 0.3]",15,-45,right,"[0.9, 0.8, 0.3]",-45,-37,91,8
2,0:02:30.251479,0:02:34.906203,"[[0.8, 0.2, 0.2], [0.9, 0.8, 0.3]]","[0.9, 0.8, 0.3]",-20,2,left,"[0.8, 0.2, 0.2]",-20,-15,94,5
3,0:02:34.906203,0:02:38.974744,"[[0, 0.6, 1], [0.9, 0.8, 0.3]]","[0, 0.6, 1]",1,18,right,"[0.9, 0.8, 0.3]",18,10,91,8
4,0:02:38.974744,0:02:43.923297,"[[0.8, 0.2, 0.2], [0.9, 0.8, 0.3]]","[0.8, 0.2, 0.2]",-64,78,left,"[0.8, 0.2, 0.2]",-64,-61,97,3
5,0:02:43.923297,0:02:48.105292,"[[0.9, 0.8, 0.3], [0, 0.8, 0.4]]","[0, 0.8, 0.4]",70,16,right,"[0, 0.8, 0.4]",16,15,99,1
6,0:02:48.105292,0:02:53.341228,"[[0.8, 0.2, 0.2], [0.9, 0.8, 0.3]]","[0.9, 0.8, 0.3]",55,-23,right,"[0.9, 0.8, 0.3]",-23,-45,76,22
7,0:02:53.341228,0:02:58.691164,"[[0, 0.8, 0.4], [0.9, 0.8, 0.3]]","[0.9, 0.8, 0.3]",59,-69,right,"[0.9, 0.8, 0.3]",-69,-70,99,1
8,0:02:58.691164,0:03:04.375114,"[[0, 0.8, 0.4], [0.9, 0.8, 0.3]]","[0.9, 0.8, 0.3]",-43,-9,right,"[0.9, 0.8, 0.3]",-9,-9,100,0
9,0:03:04.375114,0:03:09.206127,"[[0.8, 0.2, 0.2], [0.9, 0.8, 0.3]]","[0.9, 0.8, 0.3]",4,-37,left,"[0.8, 0.2, 0.2]",4,32,69,28
10,0:03:09.206127,0:03:13.706677,"[[0.8, 0.2, 0.2], [0, 0.6, 1]]","[0, 0.6, 1]",-31,5,left,"[0.8, 0.2, 0.2]",-31,-30,99,1
