trial_number,block,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,idle_reaction_time,response_time,key_pressed,report_orientation,performance,absolute_difference,correct_key,signed_difference
1,1,0:00:00.006470,0:00:04.719909,"['#a8f0d1', '#99ceff']",#ff99ac,neutral,-77,29,left,#a8f0d1,-77,0.10892653465270996,0.5216474533081055,m,48,39,55,False,-125
2,1,0:00:04.719909,0:00:09.395488,"['#ff99ac', '#99ceff']",#99ceff,incongruent,-61,77,left,#ff99ac,-61,0.36458826065063477,0.35426783561706543,m,33,4,86,False,-94
3,1,0:00:09.395488,0:00:14.361729,"['#99ceff', '#f5e2a3']",#f5e2a3,congruent,20,-70,right,#f5e2a3,-70,0.41199231147766113,0.6024260520935059,m,55,39,55,False,-125
4,1,0:00:14.361944,0:00:18.844892,"['#ff99ac', '#99ceff']",#f5e2a3,neutral,-25,-51,right,#99ceff,-51,0.12926912307739258,0.4016892910003662,m,36,3,87,False,-87
5,1,0:00:18.845123,0:00:23.478283,"['#a8f0d1', '#99ceff']",#a8f0d1,incongruent,-32,35,right,#99ceff,35,0.2581150531768799,0.4232661724090576,m,39,96,4,True,-4
6,1,0:00:23.478283,0:00:28.145018,"['#a8f0d1', '#f5e2a3']",#a8f0d1,congruent,18,-58,left,#a8f0d1,18,0.3577899932861328,0.3601491451263428,m,33,83,15,True,-15
7,2,0:00:31.685033,0:00:36.161649,"['#99ceff', '#a8f0d1']",#99ceff,incongruent,-34,27,right,#a8f0d1,27,0.1406545639038086,0.3918755054473877,m,36,90,9,True,-9
8,2,0:00:36.161649,0:00:41.078378,"['#ff99ac', '#99ceff']",#99ceff,congruent,-57,81,right,#99ceff,81,0.5822205543518066,0.3805971145629883,m,34,48,47,True,47
9,2,0:00:41.078378,0:00:45.844674,"['#ff99ac', '#f5e2a3']",#f5e2a3,incongruent,12,-73,left,#ff99ac,12,0.2557260990142822,0.5595459938049316,m,51,57,39,True,-39
10,2,0:00:45.844674,0:00:50.494946,"['#99ceff', '#f5e2a3']",#ff99ac,neutral,-62,-77,left,#99ceff,-62,0.3654208183288574,0.334867000579834,m,30,2,88,False,-92
11,2,0:00:50.494946,0:00:55.178055,"['#ff99ac', '#f5e2a3']",#ff99ac,congruent,54,68,left,#ff99ac,54,0.3095738887786865,0.42583513259887695,m,39,83,15,True,15
12,2,0:00:55.178055,0:00:59.794466,"['#a8f0d1', '#ff99ac']",#99ceff,neutral,-28,58,right,#ff99ac,58,0.23052740097045898,0.4350571632385254,m,40,80,18,True,18
13,3,0:01:08.707904,0:01:13.760949,"['#a8f0d1', '#f5e2a3']",#99ceff,neutral,-65,8,left,#a8f0d1,-65,0.5836505889892578,0.5138869285583496,m,46,23,69,False,-111
14,3,0:01:13.760949,0:01:18.628205,"['#a8f0d1', '#f5e2a3']",#a8f0d1,congruent,62,47,left,#a8f0d1,62,0.6110467910766602,0.3066403865814209,m,28,62,34,True,34
15,3,0:01:18.628441,0:01:23.511369,"['#99ceff', '#ff99ac']",#a8f0d1,neutral,-39,-81,right,#ff99ac,-81,0.3589291572570801,0.574535608291626,m,50,46,49,False,-131
16,3,0:01:23.511369,0:01:28.328224,"['#f5e2a3', '#ff99ac']",#ff99ac,congruent,-34,-56,right,#ff99ac,-56,0.35546040534973145,0.50966477394104,m,46,13,78,False,-102
17,3,0:01:28.328224,0:01:32.994811,"['#a8f0d1', '#ff99ac']",#a8f0d1,incongruent,-78,-27,right,#ff99ac,-27,0.31725001335144043,0.3977973461151123,m,36,30,63,False,-63
18,3,0:01:32.994811,0:01:37.377816,"['#99ceff', '#ff99ac']",#ff99ac,incongruent,-47,-14,left,#99ceff,-47,0.0569765567779541,0.3738563060760498,m,34,10,81,False,-81
