trial_number,start_time,end_time,left_bar_rotation,right_bar_rotation,report_orientation,performance,difference
1,1679992481.7570975,1679992485.3078048,-9,-69,-21,87,12
2,1679992485.3078048,1679992487.224092,-2,-50,-15,86,13
3,1679992487.224092,1679992489.440448,62,-44,51,88,11
4,1679992489.440448,1679992491.657127,25,-50,39,84,14
5,1679992491.657127,1679992494.1072507,-72,-52,-60,87,12
