trial_number,block,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,idle_reaction_time,response_time,key_pressed,report_orientation,performance,absolute_difference,correct_key,signed_difference
1,1,0:00:00.006001,0:00:04.920370,"['#f5e2a3', '#99ceff']",#a8f0d1,neutral,-38,-17,right,#99ceff,-17,0.3703303337097168,0.44351959228515625,z,-40,74,23,True,23
2,1,0:00:04.920370,0:00:09.663644,"['#a8f0d1', '#ff99ac']",#ff99ac,congruent,-37,9,right,#ff99ac,9,0.34090471267700195,0.4586522579193115,m,42,63,33,True,-33
3,1,0:00:09.663644,0:00:14.363526,"['#ff99ac', '#f5e2a3']",#f5e2a3,incongruent,-43,-54,left,#ff99ac,-43,0.3127627372741699,0.434955358505249,z,-40,97,3,True,-3
4,1,0:00:14.363526,0:00:19.180568,"['#f5e2a3', '#ff99ac']",#f5e2a3,congruent,25,-18,left,#f5e2a3,25,0.43864870071411133,0.427994966506958,m,39,84,14,True,-14
5,1,0:00:19.180568,0:00:24.063554,"['#f5e2a3', '#a8f0d1']",#f5e2a3,incongruent,-10,-38,right,#a8f0d1,-38,0.3625516891479492,0.5702304840087891,z,-51,86,13,True,13
6,1,0:00:24.063554,0:00:28.897455,"['#ff99ac', '#f5e2a3']",#99ceff,neutral,80,-12,left,#ff99ac,80,0.30349254608154297,0.5781075954437256,m,52,69,28,True,28
7,2,0:00:34.546885,0:00:39.347410,"['#99ceff', '#f5e2a3']",#99ceff,incongruent,-57,-6,right,#f5e2a3,-6,0.33257150650024414,0.5157201290130615,m,46,42,52,False,-52
8,2,0:00:39.347410,0:00:44.163644,"['#a8f0d1', '#99ceff']",#ff99ac,neutral,75,-50,left,#a8f0d1,75,0.27254414558410645,0.594228982925415,m,54,77,21,True,21
9,2,0:00:44.163644,0:00:49.248454,"['#99ceff', '#f5e2a3']",#a8f0d1,neutral,41,77,right,#f5e2a3,77,0.5549232959747314,0.5810070037841797,m,52,72,25,True,25
10,2,0:00:49.248454,0:00:54.165528,"['#a8f0d1', '#f5e2a3']",#a8f0d1,congruent,-9,63,left,#a8f0d1,-9,0.37263011932373047,0.5924913883209229,z,-52,52,43,True,43
11,2,0:00:54.165528,0:00:59.213854,"['#99ceff', '#ff99ac']",#ff99ac,incongruent,22,-51,left,#99ceff,22,0.29671168327331543,0.8002839088439941,m,72,44,50,True,-50
12,2,0:00:59.213854,0:01:04.147177,"['#f5e2a3', '#ff99ac']",#ff99ac,congruent,36,73,right,#ff99ac,73,0.3722829818725586,0.6088619232177734,m,55,80,18,True,18
13,3,0:01:16.147035,0:01:20.864058,"['#99ceff', '#a8f0d1']",#a8f0d1,congruent,-50,-32,right,#a8f0d1,-32,0.3534550666809082,0.4120814800262451,z,-34,98,2,True,2
14,3,0:01:20.864058,0:01:25.547229,"['#f5e2a3', '#a8f0d1']",#99ceff,neutral,53,-49,right,#a8f0d1,-49,0.276076078414917,0.4568171501159668,z,-42,92,7,True,-7
15,3,0:01:25.547229,0:01:30.230303,"['#ff99ac', '#99ceff']",#f5e2a3,neutral,11,-36,left,#ff99ac,11,0.22110962867736816,0.5122442245483398,z,-46,37,57,False,57
16,3,0:01:30.230303,0:01:35.264219,"['#99ceff', '#f5e2a3']",#99ceff,incongruent,83,27,right,#f5e2a3,27,0.5636122226715088,0.5195727348327637,z,-48,17,75,False,75
17,3,0:01:35.264219,0:01:40.047121,"['#a8f0d1', '#ff99ac']",#ff99ac,incongruent,18,-77,left,#a8f0d1,18,0.38173413276672363,0.44959568977355957,z,-40,36,58,False,58
18,3,0:01:40.047121,0:01:44.497235,"['#ff99ac', '#99ceff']",#ff99ac,congruent,68,-17,left,#ff99ac,68,0.09712862968444824,0.40257787704467773,z,-37,17,75,False,105
19,4,0:01:54.610511,0:01:59.464083,"['#ff99ac', '#f5e2a3']",#ff99ac,incongruent,81,-39,right,#f5e2a3,-39,0.45349860191345215,0.44781923294067383,z,-40,99,1,True,1
20,4,0:01:59.464083,0:02:04.163508,"['#f5e2a3', '#a8f0d1']",#a8f0d1,incongruent,-48,-29,left,#f5e2a3,-48,0.29721593856811523,0.4519686698913574,m,42,0,90,False,-90
21,4,0:02:04.163508,0:02:08.881294,"['#ff99ac', '#f5e2a3']",#a8f0d1,neutral,-55,17,right,#f5e2a3,17,0.3244040012359619,0.4423336982727051,m,40,74,23,True,-23
22,4,0:02:08.881294,0:02:13.596930,"['#ff99ac', '#99ceff']",#a8f0d1,neutral,-74,-7,left,#ff99ac,-74,0.2503476142883301,0.5158696174621582,m,46,33,60,False,-120
23,4,0:02:13.596930,0:02:18.297737,"['#ff99ac', '#a8f0d1']",#ff99ac,congruent,-40,23,left,#ff99ac,-40,0.3024027347564697,0.4472179412841797,m,40,11,80,False,-80
24,4,0:02:18.297737,0:02:23.530294,"['#f5e2a3', '#a8f0d1']",#a8f0d1,congruent,48,-85,right,#a8f0d1,-85,0.9066951274871826,0.37609028816223145,m,34,32,61,False,-119
