trial_number,start_time,end_time,stimuli_colours,capture_colour,left_orientation,right_orientation,target_bar,target_colour,target_orientation,report_orientation,performance,difference
1,0 days 00:00:23.202160,0 days 00:00:27.561385,"[[0.8, 0.2, 0.2], [0.9, 0.8, 0.3]]","[0.9, 0.8, 0.3]",-34,68,left,"[0.8, 0.2, 0.2]",-34,-34,100,0
2,0 days 00:00:27.561385,0 days 00:00:31.444283,"[[0, 0.6, 1], [0, 0.8, 0.4]]","[0, 0.8, 0.4]",9,6,right,"[0, 0.8, 0.4]",6,24,80,18
3,0 days 00:00:31.444283,0 days 00:00:35.293786,"[[0.9, 0.8, 0.3], [0, 0.8, 0.4]]","[0, 0.8, 0.4]",-12,58,left,"[0.9, 0.8, 0.3]",-12,-22,89,10
4,0 days 00:00:35.293786,0 days 00:00:39.078063,"[[0, 0.6, 1], [0.9, 0.8, 0.3]]","[0, 0.6, 1]",12,3,right,"[0.9, 0.8, 0.3]",3,21,80,18
5,0 days 00:00:39.078063,0 days 00:00:42.893573,"[[0, 0.8, 0.4], [0.9, 0.8, 0.3]]","[0.9, 0.8, 0.3]",-6,-26,left,"[0, 0.8, 0.4]",-6,-20,84,14
