trial_number,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,idle_reaction_time,response_time,report_orientation,performance,absolute_difference,signed_difference
1,0:00:00.970900,0:00:04.297115,"['#99ceff', '#f5e2a3']",#a8f0d1,neutral,50,67,left,#99ceff,50,0.10391783714294434,0.0718679428100586,7,52,43,43
2,0:00:04.297115,0:00:07.646720,"['#99ceff', '#ff99ac']",#ff99ac,congruent,25,-67,right,#ff99ac,-67,0.10883426666259766,0.08586382865905762,7,18,74,-74
