trial_number,block,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,idle_reaction_time,response_time,key_pressed,report_orientation,performance,absolute_difference,correct_key,signed_difference
1,1,0:00:17.987028,0:00:23.932848,"['#f5e2a3', '#a8f0d1']",#a8f0d1,incongruent,19,-10,left,#f5e2a3,19,1.7841806411743164,0.21447324752807617,m,20,99,1,True,-1
2,1,0:00:23.932848,0:00:29.099238,"['#ff99ac', '#99ceff']",#ff99ac,incongruent,-59,-66,right,#99ceff,-66,0.8395788669586182,0.37615489959716797,m,34,11,80,False,-100
3,1,0:00:29.099477,0:00:34.316443,"['#f5e2a3', '#a8f0d1']",#ff99ac,neutral,50,15,left,#f5e2a3,50,0.9283220767974854,0.3377194404602051,z,-32,9,82,False,82
4,1,0:00:34.316443,0:00:39.099226,"['#f5e2a3', '#a8f0d1']",#a8f0d1,congruent,-11,-59,right,#a8f0d1,-59,0.37820911407470703,0.453723669052124,m,42,12,79,False,-101
5,1,0:00:39.099226,0:00:43.699302,"['#99ceff', '#a8f0d1']",#ff99ac,neutral,77,-7,right,#a8f0d1,-7,0.31365418434143066,0.3354012966156006,m,32,57,39,False,-39
6,1,0:00:43.699302,0:00:48.515924,"['#a8f0d1', '#f5e2a3']",#a8f0d1,congruent,11,-6,left,#a8f0d1,11,0.3662073612213135,0.4989156723022461,z,-45,38,56,False,56
