trial_number,block,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,condition_code,idle_reaction_time_in_ms,response_time_in_ms,key_pressed,report_orientation,performance,absolute_difference,correct_key,signed_difference
1,1,0:00:00.167152,0:00:04.658426,"['#a8f0d1', '#ff99ac']",#99ceff,neutral,-82,-83,left,#a8f0d1,-82,5,392.34,825.34,z,-61,77,21,True,-21
2,1,0:00:04.658426,0:00:08.858548,"['#ff99ac', '#a8f0d1']",#a8f0d1,congruent,40,22,right,#a8f0d1,22,2,364.06,561.97,m,41,79,19,True,-19
3,1,0:00:08.858548,0:00:12.874159,"['#ff99ac', '#a8f0d1']",#ff99ac,incongruent,51,66,right,#a8f0d1,66,4,323.89,417.14,m,31,61,35,True,35
4,1,0:00:12.874159,0:00:17.691800,"['#a8f0d1', '#f5e2a3']",#f5e2a3,incongruent,-58,-44,left,#a8f0d1,-58,3,1157.17,387.38,m,28,4,86,False,-86
5,1,0:00:17.691800,0:00:25.317294,"['#a8f0d1', '#99ceff']",#a8f0d1,congruent,19,-27,left,#a8f0d1,19,1,4060.25,292.14,m,21,98,2,True,-2
6,1,0:00:25.317294,0:00:46.097186,"['#ff99ac', '#a8f0d1']",#f5e2a3,neutral,9,64,right,#a8f0d1,64,6,17409.08,96.72,m,6,36,58,True,58
7,2,0:00:55.729493,0:00:59.793215,"['#99ceff', '#ff99ac']",#a8f0d1,neutral,52,17,left,#99ceff,52,5,573.38,216.75,m,15,59,37,True,37
8,2,0:00:59.793215,0:01:03.497338,"['#a8f0d1', '#f5e2a3']",#a8f0d1,incongruent,84,-26,right,#f5e2a3,-26,4,20.83,409.2,m,30,38,56,False,-56
9,2,0:01:03.497338,0:01:07.548661,"['#f5e2a3', '#a8f0d1']",#f5e2a3,congruent,-11,-46,left,#f5e2a3,-11,1,299.58,476.66,m,35,49,46,False,-46
10,2,0:01:07.548661,0:01:11.448207,"['#f5e2a3', '#a8f0d1']",#99ceff,neutral,-68,83,right,#a8f0d1,83,6,291.15,336.29,m,24,34,59,True,59
11,2,0:01:11.448207,0:01:15.290218,"['#f5e2a3', '#ff99ac']",#ff99ac,congruent,-79,37,right,#ff99ac,37,2,247.01,322.9,m,23,84,14,True,14
12,2,0:01:15.290218,0:01:19.293429,"['#99ceff', '#ff99ac']",#ff99ac,incongruent,-27,-41,left,#99ceff,-27,3,269.33,460.78,m,34,32,61,False,-61
