trial_number,block,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,idle_reaction_time,response_time,key_pressed,report_orientation,performance,absolute_difference,correct_key,signed_difference
1,1,0:00:00.000499,0:00:05.241031,"['#f5e2a3', '#ff99ac']",#ff99ac,incongruent,63,20,left,#f5e2a3,63,0.8346428871154785,0.44709086418151855,m,40,74,23,True,23
2,1,0:00:05.241031,0:00:10.207286,"['#99ceff', '#f5e2a3']",#f5e2a3,congruent,-19,56,right,#f5e2a3,56,0.3111414909362793,0.7020339965820312,m,63,92,7,True,-7
3,1,0:00:10.207286,0:00:15.091634,"['#a8f0d1', '#ff99ac']",#f5e2a3,neutral,-17,60,right,#ff99ac,60,0.546255350112915,0.38542890548706055,m,34,71,26,True,26
4,1,0:00:15.091634,0:00:20.208493,"['#a8f0d1', '#ff99ac']",#a8f0d1,incongruent,-16,71,right,#ff99ac,71,0.5738084316253662,0.590001106262207,m,52,79,19,True,19
5,1,0:00:20.208493,0:00:25.241866,"['#99ceff', '#a8f0d1']",#99ceff,congruent,-84,68,left,#99ceff,-84,0.3563063144683838,0.7292037010192871,z,-66,80,18,True,-18
6,1,0:00:25.241866,0:00:29.722170,"['#ff99ac', '#f5e2a3']",#99ceff,neutral,46,-57,left,#ff99ac,46,0.31293368339538574,0.2188432216644287,z,-20,27,66,False,66
7,2,0:00:34.955061,0:00:40.057462,"['#f5e2a3', '#ff99ac']",#a8f0d1,neutral,5,44,left,#f5e2a3,5,0.7892379760742188,0.3604152202606201,m,33,69,28,True,-28
8,2,0:00:40.057462,0:00:44.458529,"['#a8f0d1', '#99ceff']",#a8f0d1,congruent,14,-61,left,#a8f0d1,14,0.25788426399230957,0.19201064109802246,z,-18,64,32,False,32
9,2,0:00:44.458529,0:00:49.773594,"['#a8f0d1', '#f5e2a3']",#99ceff,neutral,15,-59,right,#f5e2a3,-59,0.7449362277984619,0.6195526123046875,z,-55,96,4,True,-4
10,2,0:00:49.773594,0:00:54.357804,"['#99ceff', '#ff99ac']",#99ceff,incongruent,-42,46,right,#ff99ac,46,0.4041571617126465,0.22723841667175293,m,21,72,25,True,25
11,2,0:00:54.357804,0:00:58.922126,"['#99ceff', '#ff99ac']",#ff99ac,congruent,5,17,right,#ff99ac,17,0.4229586124420166,0.19600892066955566,m,18,99,1,True,-1
12,2,0:00:58.922126,0:01:03.874612,"['#a8f0d1', '#f5e2a3']",#f5e2a3,incongruent,23,-12,left,#a8f0d1,23,0.7879292964935303,0.2099900245666504,m,20,97,3,True,3
