trial_number,start_time,end_time,left_bar_rotation,right_bar_rotation,report_orientation,performance,difference
1,1679909457.2098298,1679909459.9292817,24,53,24.0,100,0
2,1679909459.9292817,1679909463.36415,75,-25,59.99999999999999,83,15
