trial_number,block,start_time,end_time,stimuli_colours,capture_colour,trial_condition,left_orientation,right_orientation,target_bar,target_colour,target_orientation,idle_reaction_time,response_time,key_pressed,report_orientation,performance,absolute_difference,correct_key,signed_difference
1,1,0:00:00.009018,0:00:04.945644,"['#f5e2a3', '#99ceff']",#f5e2a3,incongruent,25,-20,right,#99ceff,-20,0.42412757873535156,0.42516112327575684,z,-39,79,19,True,19
2,1,0:00:04.945644,0:00:10.485422,"['#f5e2a3', '#a8f0d1']",#a8f0d1,congruent,14,35,right,#a8f0d1,35,1.0293126106262207,0.5519325733184814,z,-50,6,85,False,85
3,1,0:00:10.485422,0:00:17.634881,"['#ff99ac', '#f5e2a3']",#99ceff,neutral,25,-32,left,#ff99ac,25,2.722357988357544,0.4782602787017822,z,-44,23,69,False,69
4,1,0:00:17.634881,0:00:22.385147,"['#f5e2a3', '#a8f0d1']",#a8f0d1,incongruent,51,19,left,#f5e2a3,51,0.31460094451904297,0.48401737213134766,m,44,92,7,True,7
5,1,0:00:22.385147,0:00:28.451856,"['#a8f0d1', '#ff99ac']",#a8f0d1,congruent,6,-44,left,#a8f0d1,6,1.579127311706543,0.5367059707641602,m,50,51,44,True,-44
6,1,0:00:28.451856,0:00:33.601679,"['#ff99ac', '#f5e2a3']",#99ceff,neutral,-52,-32,right,#f5e2a3,-32,0.6813375949859619,0.5164351463317871,m,46,13,78,False,-78
